review_id,sample_id,target_paper,case_type,task_mode,difficulty,review_reason,requirement_nl,clarified_requirement,oracle_answer,signal_context,predicted_formula,gold_formula,alternative_gold_stl,predicted_question,gold_clarification_question,equivalence_hint,affected_condition_count,affected_conditions,reviewer_1_decision,reviewer_1_error_category,reviewer_1_notes,reviewer_2_decision,reviewer_2_error_category,reviewer_2_notes,final_decision,final_error_category,final_notes
MR-001,NLSTL150-007,DeepSTL,limitation_probe,translate,3,Valid but non-identical formula; semantic equivalence not established,"At all times, at least one of the primary, secondary, or emergency pump must be running.",,,"Boolean (1=true, 0=false): `pump_primary`, `pump_secondary`, `pump_emergency`. Time: seconds. Use these exact identifiers; do not create aliases.",G(pump_primary | pump_secondary | pump_emergency),G((pump_primary = 1) | (pump_secondary = 1) | (pump_emergency = 1)),,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Anthropic direct,,,,,,,,,
MR-002,NLSTL150-010,DeepSTL,limitation_probe,translate,3,Valid but non-identical formula; semantic equivalence not established,"The door must be closed now, and a lock confirmation must arrive within 2 seconds.",,,"Boolean (1=true, 0=false): `door_closed`, `lock_confirmed`. Time: seconds. Use these exact identifiers; do not create aliases.","door_closed & F[0,2](lock_confirmed)","(door_closed = 1) & F[0,2](lock_confirmed = 1)",,,,,1,Anthropic direct,,,,,,,,,
MR-003,NLSTL150-011,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever a fault occurs, recovery must begin within 5 seconds and then remain active for 10 seconds.",,,"Boolean (1=true, 0=false): `fault`, `recovery`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(fault) -> F[0,5](rise(recovery) & G[0,10](recovery)))","G(rise(fault = 1) -> F[0,5](G[0,10](recovery = 1)))",,,,,3,Anthropic direct; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-004,NLSTL150-012,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,The robot must remain outside the hazard zone until it reaches the charging station within 60 seconds.,,,"Boolean (1=true, 0=false): `hazard_zone`, `charging_station`. Time: seconds. Use these exact identifiers; do not create aliases.","(!hazard_zone) U[0,60] (charging_station)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",,,,,3,Anthropic direct; Clarify-inspired Anthropic; OpenAI direct,,,,,,,,,
MR-005,NLSTL150-012,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,The robot must remain outside the hazard zone until it reaches the charging station within 60 seconds.,,,"Boolean (1=true, 0=false): `hazard_zone`, `charging_station`. Time: seconds. Use these exact identifiers; do not create aliases.","(hazard_zone = 0) U[0,60] (charging_station = 1)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-006,NLSTL150-013,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever reset is issued, the fault flag must have been false throughout the preceding 5 seconds.",,,"Boolean (1=true, 0=false): `reset`, `fault`. Time: seconds. Use these exact identifiers; do not create aliases.","G(reset -> H[0,5](!fault))","G((reset = 1) -> H[0,5](fault = 0))",,,,,1,Anthropic direct,,,,,,,,,
MR-007,NLSTL150-014,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,The warning must have remained active since the most recent loss-of-signal event.,,,"Boolean (1=true, 0=false): `warning`, `loss_of_signal`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",(warning) S (loss_of_signal),(warning = 1) S (loss_of_signal = 1),,,,,1,Anthropic direct,,,,,,,,,
MR-008,NLSTL150-015,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever enable rises, output must turn on within 1 second; whenever enable falls, output must turn off within 1 second.",,,"Boolean (1=true, 0=false): `enable`, `output`. Semantics: `rise(p)` = false-to-true edge; `fall(p)` = true-to-false edge. Time: seconds. Use these exact identifiers; do not create aliases.","G((rise(enable = 1)) -> F[0,1](rise(output = 1))) & G((fall(enable = 1)) -> F[0,1](fall(output = 1)))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-009,NLSTL150-015,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever enable rises, output must turn on within 1 second; whenever enable falls, output must turn off within 1 second.",,,"Boolean (1=true, 0=false): `enable`, `output`. Semantics: `rise(p)` = false-to-true edge; `fall(p)` = true-to-false edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(enable) -> F[0,1](output = 1)) & G(fall(enable) -> F[0,1](output = 0))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",,,,,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-010,NLSTL150-020,DeepSTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"Within 20 seconds, if signal A rises, signal B must stay below 3.","Whenever signal A rises, signal B must remain below 3 for the next 20 seconds.",It starts when signal A rises.,"Numeric: `B`. Boolean (1=true, 0=false): `A`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(A) -> G[0,20](B < 3))","G(rise(A = 1) -> G[0,20](B < 3))",,"For how long after A rises must B remain below 3 (e.g., until 20 seconds from the start, for 20 seconds after the rise, or indefinitely)?","Does the 20-second interval start now, or when signal A rises?",,3,Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-011,NLSTL150-022,DeepSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,"After a request, the grant should arrive soon.",Every request must be followed by a grant within 3 seconds.,At most 3 seconds.,"Boolean (1=true, 0=false): `request`, `grant`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G((rise(request)) -> (F[0,3](grant)))","G(rise(request = 1) -> F[0,3](grant = 1))",,"What is the exact time bound (interval, e.g., within X time units) that defines 'soon' for the grant to arrive after a request?",What is the maximum delay allowed for the grant?,,1,Anthropic direct,,,,,,,,,
MR-012,NLSTL150-022,DeepSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,"After a request, the grant should arrive soon.",Every request must be followed by a grant within 3 seconds.,At most 3 seconds.,"Boolean (1=true, 0=false): `request`, `grant`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(request) -> F[0,3](grant = 1))","G(rise(request = 1) -> F[0,3](grant = 1))",,"What is the exact maximum time bound (e.g., within N time units) within which grant must become true after request, and should this be triggered on each rising edge of request or whenever request holds true?",What is the maximum delay allowed for the grant?,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-013,NLSTL150-022,DeepSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,"After a request, the grant should arrive soon.",Every request must be followed by a grant within 3 seconds.,At most 3 seconds.,"Boolean (1=true, 0=false): `request`, `grant`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(request) -> F[0,3](rise(grant)))","G(rise(request = 1) -> F[0,3](grant = 1))",,What time interval should define “soon” for the grant after a request?,What is the maximum delay allowed for the grant?,,2,Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-014,NLSTL150-023,DeepSTL,limitation_probe,clarify_then_translate,3,"Formula exact, but clarification question may target the wrong slot",The backup controller must take over when necessary.,"Whenever primary_ok equals 0, the backup controller must take over.",When primary_ok equals 0.,"Boolean (1=true, 0=false): `primary_ok`, `backup_active`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((primary_ok = 0) -> (backup_active = 1)),G((primary_ok = 0) -> (backup_active = 1)),,"What exact condition defines “when necessary” (using `primary_ok` and/or `backup_active`), and must `backup_active` become true immediately or within a specified time bound?",Which observable condition makes takeover necessary?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,OpenAI direct,,,,,,,,,
MR-015,NLSTL150-023,DeepSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,The backup controller must take over when necessary.,"Whenever primary_ok equals 0, the backup controller must take over.",When primary_ok equals 0.,"Boolean (1=true, 0=false): `primary_ok`, `backup_active`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((primary_ok = 0) -> F(backup_active = 1)),G((primary_ok = 0) -> (backup_active = 1)),,"Should 'necessary' be defined as primary_ok becoming false (primary_ok=0), and if so, within what time bound after that must backup_active become true?",Which observable condition makes takeover necessary?,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-016,NLSTL150-023,DeepSTL,limitation_probe,clarify_then_translate,3,Valid but non-identical formula; semantic equivalence not established,The backup controller must take over when necessary.,"Whenever primary_ok equals 0, the backup controller must take over.",When primary_ok equals 0.,"Boolean (1=true, 0=false): `primary_ok`, `backup_active`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((primary_ok = 0) -> backup_active),G((primary_ok = 0) -> (backup_active = 1)),,"What condition defines 'when necessary' for backup takeover — specifically, should this be interpreted as backup_active becoming true whenever primary_ok is false (i.e., !primary_ok -> backup_active), or is there a different triggering condition intended?",Which observable condition makes takeover necessary?,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Anthropic direct,,,,,,,,,
MR-017,NLSTL150-024,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"After a request, acknowledge within 1 second, begin service within 5 seconds, and finish within 20 seconds.",,,"Boolean (1=true, 0=false): `request`, `ack`, `service_started`, `service_done`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(request) -> (F[0,1](ack) & F[0,5](service_started) & F[0,20](service_done)))","G(rise(request = 1) -> (F[0,1](ack = 1) & F[0,5](service_started = 1) & F[0,20](service_done = 1)))",,,,,1,Anthropic direct,,,,,,,,,
MR-018,NLSTL150-024,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"After a request, acknowledge within 1 second, begin service within 5 seconds, and finish within 20 seconds.",,,"Boolean (1=true, 0=false): `request`, `ack`, `service_started`, `service_done`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(request) -> (F[0,1](rise(ack)) & F[0,5](rise(service_started)) & F[0,20](rise(service_done))))","G(rise(request = 1) -> (F[0,1](ack = 1) & F[0,5](service_started = 1) & F[0,20](service_done = 1)))",,,,,2,Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-019,NLSTL150-025,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Between times 20 and 50, x1 plus x2 must not exceed 1.5 unless x3 becomes greater than 2 within 4 time units.",,,"Numeric: `x1`, `x2`, `x3`. Time: abstract benchmark time units. Use these exact identifiers; do not create aliases.","G[20,50]((x1 + x2 <= 1.5) U[0,4] (x3 > 2))","G[20,50](((x1 + x2) <= 1.5) U[2,4](x3 > 2))",,,,,1,Anthropic direct,,,,,,,,,
MR-020,NLSTL150-027,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever temperature leaves the interval 20 to 30, it must return to that interval within 6 seconds and stay there for 4 seconds.",,,Numeric: `temperature`. Time: seconds. Use these exact identifiers; do not create aliases.,"G((temperature < 20 | temperature > 30) -> F[0,6](G[0,4](temperature >= 20 & temperature <= 30)))","G((!((temperature >= 20) & (temperature <= 30))) -> F[0,6](G[0,4]((temperature >= 20) & (temperature <= 30))))",,,,,1,Anthropic direct,,,,,,,,,
MR-021,NLSTL150-030,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,Every goal region must be visited by at least one of the three robots before 90 seconds while all robot pairs remain at least 1 metre apart.,,,"Numeric: `d12`, `d13`, `d23`. Boolean (1=true, 0=false): `goal_1_r1`, `goal_1_r2`, `goal_1_r3`, `goal_2_r1`, `goal_2_r2`, `goal_2_r3`. Time: seconds. Use these exact identifiers; do not create aliases.","(F[0,90](goal_1_r1 = 1 | goal_1_r2 = 1 | goal_1_r3 = 1) & F[0,90](goal_2_r1 = 1 | goal_2_r2 = 1 | goal_2_r3 = 1)) & G(d12 >= 1 & d13 >= 1 & d23 >= 1)","(F[0,90](goal_1_r1 | goal_1_r2 | goal_1_r3) & F[0,90](goal_2_r1 | goal_2_r2 | goal_2_r3)) & G((d12 >= 1) & (d13 >= 1) & (d23 >= 1))",,,,,1,OpenAI direct,,,,,,,,,
MR-022,NLSTL150-031,STL-DivEn/KGST,expected_strength,translate,5,Valid but non-identical formula; semantic equivalence not established,"Between time 20 and 50, the sum of signals x1 and x2 must not exceed 1.5, unless within 2 to 4 time units later x3 exceeds 2.",,,"Numeric: `x1`, `x2`, `x3`. Time: abstract benchmark time units. Use these exact identifiers; do not create aliases.","G[20,50]((x1 + x2 <= 1.5) | F[2,4](x3 > 2))","G[20,50](((x1 + x2) <= 1.5) U[2,4](x3 > 2))",,,,,1,OpenAI direct,,,,,,,,,
MR-023,NLSTL150-032,STL-DivEn/KGST,expected_strength,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever z2 is below -0.5 or above 0.5 during the first 500 time units, z1 must exceed 1 within 200 time units and stay above 1 for at least 50 time units.",,,"Numeric: `z2`, `z1`. Semantics: `abs(x)` = absolute value. Time: abstract benchmark time units. Use these exact identifiers; do not create aliases.","G[0,500](((z2 < -0.5 | z2 > 0.5) -> F[0,200]((z1 > 1) & G[0,50](z1 > 1))))","G[0,500]((abs(z2) > 0.5) -> F[0,200](G[0,50](z1 > 1)))",,,,,1,OpenAI direct,,,,,,,,,
MR-024,NLSTL150-037,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever a request occurs during the first 100 seconds, a response must arrive within 4 seconds.",,,"Boolean (1=true, 0=false): `request`, `response`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,100](rise(request) -> F[0,4](response = 1))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-025,NLSTL150-037,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever a request occurs during the first 100 seconds, a response must arrive within 4 seconds.",,,"Boolean (1=true, 0=false): `request`, `response`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,100](rise(request) -> F[0,4](response))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",,,,,1,Clarify-inspired Anthropic,,,,,,,,,
MR-026,NLSTL150-037,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever a request occurs during the first 100 seconds, a response must arrive within 4 seconds.",,,"Boolean (1=true, 0=false): `request`, `response`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,100](rise(request) -> F[0,4](rise(response)))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",,,,,1,OpenAI direct,,,,,,,,,
MR-027,NLSTL150-038,STL-DivEn/KGST,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,A grant may be issued only if a request occurred within the previous 5 seconds.,,,"Boolean (1=true, 0=false): `grant`, `request`. Time: seconds. Use these exact identifiers; do not create aliases.","G(grant -> O[0,5](request))","G((grant = 1) -> O[0,5](request = 1))",,,,,2,Anthropic direct; Clarify-inspired Anthropic,,,,,,,,,
MR-028,NLSTL150-043,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"If A or B is true and C is false, D must occur within 2 seconds.",,,"Boolean (1=true, 0=false): `A`, `B`, `C`, `D`. Time: seconds. Use these exact identifiers; do not create aliases.","G(((A | B) & !C) -> F[0,2](D))","G(((A = 1) | ((B = 1) & (C = 0))) -> F[0,2](D = 1))",,,,,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-029,NLSTL150-046,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Each time start changes from false to true, ready must be asserted within 3 seconds.",,,"Boolean (1=true, 0=false): `start`, `ready`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(start) -> F[0,3](ready = 1))","G(rise(start = 1) -> F[0,3](ready = 1))",,,,,3,Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-030,NLSTL150-046,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Each time start changes from false to true, ready must be asserted within 3 seconds.",,,"Boolean (1=true, 0=false): `start`, `ready`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(start) -> F[0,3](ready))","G(rise(start = 1) -> F[0,3](ready = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-031,NLSTL150-047,STL-DivEn/KGST,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,Every request must receive its own response within 5 seconds even if requests overlap.,,,"Boolean (1=true, 0=false): `request`, `response`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(request) -> F[0,5](response))","G(rise(request = 1) -> F[0,5](response = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-032,NLSTL150-048,STL-DivEn/KGST,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever A and not A hold, B must occur within 2 seconds.",,,"Boolean (1=true, 0=false): `A`, `B`. Time: seconds. Use these exact identifiers; do not create aliases.","G((A & !A) -> F[0,2](B))","G(((A = 1) & !(A = 1)) -> F[0,2](B = 1))",,,,,2,Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-033,NLSTL150-050,STL-DivEn/KGST,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever the door unlocks, authorization must have been continuously valid for the previous 10 seconds.",,,"Boolean (1=true, 0=false): `door_unlocked`, `authorization_valid`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(door_unlocked) -> H[0,10](authorization_valid))","G(rise(door_unlocked = 1) -> H[0,10](authorization_valid = 1))",,,,,1,Anthropic direct,,,,,,,,,
MR-034,NLSTL150-053,STL-DivEn/KGST,limitation_probe,clarify_then_translate,5,"Formula exact, but clarification question may target the wrong slot","When a vehicle is close, keep at least 2 metres away; the retrieved domain rule defines close as below 3 metres but a second rule defines it as below 5 metres.","Whenever another vehicle is within 3 metres, maintain at least 2 metres of separation.",Use below 3 metres.,"Numeric: `vehicle_distance` [m], `separation` [m]. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),,Two conflicting domain rules define 'close' differently (below 3 metres vs below 5 metres) — which threshold should be used for vehicle_distance to determine 'close'?,Which definition of “close” should govern this requirement?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Anthropic direct,,,,,,,,,
MR-035,NLSTL150-053,STL-DivEn/KGST,limitation_probe,clarify_then_translate,5,"Formula exact, but clarification question may target the wrong slot","When a vehicle is close, keep at least 2 metres away; the retrieved domain rule defines close as below 3 metres but a second rule defines it as below 5 metres.","Whenever another vehicle is within 3 metres, maintain at least 2 metres of separation.",Use below 3 metres.,"Numeric: `vehicle_distance` [m], `separation` [m]. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),,"Which threshold and signal should define “vehicle is close” (<3 m or <5 m, using `vehicle_distance` or `separation`)?",Which definition of “close” should govern this requirement?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,Clarify-inspired OpenAI,,,,,,,,,
MR-036,NLSTL150-053,STL-DivEn/KGST,limitation_probe,clarify_then_translate,5,"Formula exact, but clarification question may target the wrong slot","When a vehicle is close, keep at least 2 metres away; the retrieved domain rule defines close as below 3 metres but a second rule defines it as below 5 metres.","Whenever another vehicle is within 3 metres, maintain at least 2 metres of separation.",Use below 3 metres.,"Numeric: `vehicle_distance` [m], `separation` [m]. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),,Which threshold should define “a vehicle is close” for this requirement: vehicle_distance < 3 m or vehicle_distance < 5 m?,Which definition of “close” should govern this requirement?,Formula is exact; adjudicate only whether the clarification question targets the annotated missing slot.,1,OpenAI direct,,,,,,,,,
MR-037,NLSTL150-056,STL-DivEn/KGST,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"During the first 120 seconds, whenever either sensor A exceeds 5 or sensor B falls below -2, actuator C must respond within 4 seconds, stay active for 6 seconds, and keep error D below 0.1 unless override E is asserted.",,,"Numeric: `A`, `B`, `D`. Boolean (1=true, 0=false): `E`, `C`. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,120](((A > 5) | (B < -2)) -> F[0,4](G[0,6](C = 1 & ((E = 1) | (D < 0.1)))))","G[0,120]((((A > 5) | (B < -2)) & !(E = 1)) -> F[0,4](G[0,6]((C = 1) & (D < 0.1))))",,,,,1,OpenAI direct,,,,,,,,,
MR-038,NLSTL150-056,STL-DivEn/KGST,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"During the first 120 seconds, whenever either sensor A exceeds 5 or sensor B falls below -2, actuator C must respond within 4 seconds, stay active for 6 seconds, and keep error D below 0.1 unless override E is asserted.",,,"Numeric: `A`, `B`, `D`. Boolean (1=true, 0=false): `E`, `C`. Time: seconds. Use these exact identifiers; do not create aliases.","G[0,120]((A>5 | B<-2) -> F[0,4](G[0,6]((C=1) & (D<0.1 | E=1))))","G[0,120]((((A > 5) | (B < -2)) & !(E = 1)) -> F[0,4](G[0,6]((C = 1) & (D < 0.1))))",,,,,1,Anthropic direct,,,,,,,,,
MR-039,NLSTL150-057,STL-DivEn/KGST,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"When valve A opens while valve B is closed, it must close within 3 seconds.","When valve A opens while valve B is closed, valve A must close within 3 seconds.",Valve A.,"Boolean (1=true, 0=false): `valve_A`, `valve_B`. Time: seconds. Use these exact identifiers; do not create aliases.","G((rise(valve_A) & (valve_B = 0)) -> F[0,3](valve_A = 0))","G(((valve_A = 1) & (valve_B = 0)) -> F[0,3](valve_A = 0))",,"Does 'it must close within 3 seconds' refer to valve_A (the valve that just opened) needing to close again, or to valve_B, and should the triggering condition 'valve A opens while valve B is closed' be interpreted as an instantaneous rising-edge event on valve_A?",Which valve must close within 3 seconds?,Likely transition-versus-state difference: rise(x) is generally stricter than x being true.,1,Clarify-inspired Anthropic,,,,,,,,,
